Marca,Modelo,Ano,Tipo_combustivel,Potencia_motor,Cilindros_motor,Tipo_transmissao,Rodas_motrizes,Numero_portas,Tamanho,Estilo,Consumo_estrada_milhas,Consumo_cidade_milhas,Valor($)
Ford,Transit Wagon,2015,flex (gasolina/E85),275.0,6.0,automatico,tracao traseira,3.0,grande,van de passageiros,19,14,37580
Chevrolet,Colorado,2016,gasolina comum,305.0,6.0,automatico,tracao traseira,4.0,compacto,picape cabine dupla,26,18,31670
Mercedes-Benz,E-Class,2015,gasolina premium (obrigatoria),302.0,6.0,automatico,tracao traseira,4.0,medio,seda,29,20,52300
BMW,M,2002,gasolina premium (obrigatoria),315.0,6.0,manual,tracao traseira,2.0,compacto,cupe,25,17,44990
Chevrolet,City Express,2015,gasolina comum,131.0,4.0,automatico,tracao dianteira,4.0,compacto,minivan de carga,26,24,21955
Volkswagen,Rabbit,2008,gasolina comum,170.0,5.0,manual,tracao dianteira,2.0,compacto,hatchback 2 portas,29,22,15600
Subaru,Impreza,2017,gasolina comum,152.0,4.0,automatico,tracao integral,4.0,compacto,hatchback 4 portas,37,28,21695
Toyota,Sequoia,2017,gasolina comum,381.0,8.0,automatico,tracao traseira,4.0,grande,SUV 4 portas,17,13,61990
Toyota,Tundra,2016,flex (gasolina/E85),381.0,8.0,automatico,tracao nas quatro rodas,4.0,grande,picape cabine estendida,17,13,42945
Ford,Mustang,2016,gasolina comum,300.0,6.0,manual,tracao traseira,2.0,medio,conversivel,28,17,29645
Buick,Encore,2017,gasolina comum,138.0,4.0,automatico,tracao integral,4.0,compacto,SUV 4 portas,30,24,28365
Honda,CR-Z,2015,gasolina comum,130.0,4.0,manual,tracao dianteira,2.0,compacto,hatchback 2 portas,38,31,20145
Buick,Regal,2016,gasolina premium (recomendada),259.0,4.0,automatico,tracao integral,4.0,medio,seda,27,19,31415
Chevrolet,Sportvan,1995,gasolina comum,163.0,6.0,automatico,tracao traseira,3.0,medio,van de passageiros,15,13,2000
Mazda,Truck,2002,gasolina comum,135.0,4.0,manual,tracao traseira,2.0,compacto,picape cabine simples,25,21,12840
Toyota,Tacoma,2017,gasolina comum,278.0,6.0,automatico,tracao traseira,4.0,compacto,picape cabine dupla,24,19,32240
Mercedes-Benz,C43 AMG,1998,gasolina comum,302.0,8.0,automatico,tracao traseira,4.0,compacto,seda,21,16,4472
Hyundai,Genesis,2016,gasolina comum,311.0,6.0,automatico,tracao integral,4.0,grande,seda,25,16,41250
Chevrolet,Tahoe Limited/Z71,2000,gasolina comum,255.0,8.0,automatico,tracao nas quatro rodas,4.0,grande,SUV 4 portas,15,11,3465
Cadillac,SRX,2014,gasolina comum,308.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,23,16,48065
Acura,RDX,2016,gasolina premium (recomendada),279.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,28,19,36870
Ford,E-Series Van,2013,flex (gasolina/E85),225.0,8.0,automatico,tracao traseira,3.0,grande,van de carga,17,13,30145
Cadillac,Eldorado,2000,gasolina comum,300.0,8.0,automatico,tracao dianteira,2.0,grande,cupe,25,15,3257
Nissan,Versa,2016,gasolina comum,109.0,4.0,automatico,tracao dianteira,4.0,compacto,seda,35,26,13540
Plymouth,Sundance,1994,gasolina comum,93.0,4.0,manual,tracao dianteira,2.0,compacto,hatchback 2 portas,30,23,2000
Chevrolet,Sonic,2015,gasolina comum,138.0,4.0,automatico,tracao dianteira,4.0,compacto,hatchback 4 portas,35,25,16095
Suzuki,Forenza,2007,gasolina comum,127.0,4.0,automatico,tracao dianteira,4.0,compacto,perua,27,19,16499
Plymouth,Neon,1999,gasolina comum,132.0,4.0,manual,tracao dianteira,2.0,compacto,cupe,36,24,2000
GMC,Envoy,2009,gasolina comum,285.0,6.0,automatico,tracao traseira,4.0,medio,SUV 4 portas,20,14,33480
Volkswagen,GTI,2012,gasolina premium (recomendada),200.0,4.0,manual,tracao dianteira,2.0,compacto,hatchback 2 portas,31,21,26275
Dodge,Ram 50 Pickup,1992,gasolina comum,116.0,4.0,manual,tracao nas quatro rodas,2.0,compacto,picape cabine simples,20,17,2000
Ford,Expedition,2017,gasolina comum,365.0,6.0,automatico,tracao nas quatro rodas,4.0,grande,SUV 4 portas,19,15,68996
Chevrolet,C/K 1500 Series,1998,gasolina comum,200.0,6.0,manual,tracao traseira,2.0,grande,picape cabine simples,21,16,2668
Mitsubishi,Lancer Evolution,2014,gasolina premium (obrigatoria),291.0,4.0,manual,tracao integral,4.0,compacto,seda,23,17,34995
Nissan,Rogue Select,2015,gasolina comum,170.0,4.0,automatico,tracao integral,4.0,medio,SUV 4 portas,27,22,21500
Volvo,740,1991,gasolina comum,162.0,4.0,manual,tracao traseira,4.0,medio,perua,24,18,2000
Suzuki,XL-7,2005,gasolina comum,185.0,6.0,automatico,tracao nas quatro rodas,4.0,medio,SUV 4 portas,20,15,24799
Porsche,Boxster,2014,gasolina premium (obrigatoria),265.0,6.0,manual,tracao traseira,2.0,compacto,conversivel,30,20,50400
Ford,Transit Connect,2016,gasolina comum,169.0,4.0,automatico,tracao dianteira,4.0,compacto,minivan de passageiros,28,20,26825
Lexus,HS 250h,2012,gasolina comum,187.0,4.0,automatico,tracao dianteira,4.0,medio,seda,34,35,37030
Honda,CR-V,2015,gasolina comum,185.0,4.0,automatico,tracao integral,4.0,compacto,SUV 4 portas,33,26,32895
Chevrolet,Venture,2005,gasolina comum,185.0,6.0,automatico,tracao dianteira,4.0,medio,minivan de passageiros,24,17,26835
Volkswagen,Touareg,2017,gasolina premium (recomendada),280.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,23,17,52795
Ford,Aerostar,1996,gasolina comum,155.0,6.0,automatico,tracao integral,3.0,grande,minivan de passageiros,19,13,2000
Chevrolet,Malibu Maxx,2005,gasolina comum,200.0,6.0,automatico,tracao dianteira,4.0,medio,hatchback 4 portas,28,20,24610
Mitsubishi,Endeavor,2008,gasolina premium (obrigatoria),225.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,19,15,29099
Audi,Q7,2015,gasolina premium (obrigatoria),280.0,6.0,automatico,tracao integral,4.0,grande,SUV 4 portas,22,16,48300
Ford,Transit Wagon,2017,flex (gasolina/E85),275.0,6.0,automatico,tracao traseira,3.0,medio,van de passageiros,19,14,35660
Ford,Fiesta,2017,gasolina comum,120.0,4.0,manual automatizado,tracao dianteira,4.0,compacto,hatchback 4 portas,36,27,19420
Nissan,Cube,2012,gasolina comum,122.0,4.0,manual,tracao dianteira,4.0,compacto,perua,30,25,14980
Volkswagen,Jetta GLI,2014,gasolina premium (recomendada),210.0,4.0,manual automatizado,tracao dianteira,4.0,medio,seda,32,24,27925
Lincoln,MKZ,2015,gasolina comum,231.0,4.0,automatico,tracao dianteira,4.0,medio,seda,33,22,45555
Toyota,Sequoia,2015,gasolina comum,381.0,8.0,automatico,tracao nas quatro rodas,4.0,grande,SUV 4 portas,17,13,56580
Suzuki,Aerio,2005,gasolina comum,155.0,4.0,automatico,tracao integral,4.0,compacto,seda,26,21,17549
Ford,F-150 Heritage,2004,gasolina comum,231.0,8.0,automatico,tracao nas quatro rodas,4.0,grande,picape cabine estendida,17,13,26160
Volvo,XC60,2015,gasolina comum,300.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,24,17,45550
Kia,Optima,2014,gasolina comum,199.0,4.0,automatico,tracao dianteira,4.0,medio,seda,40,36,25995
Lincoln,Continental,2017,gasolina comum,305.0,6.0,automatico,tracao integral,4.0,grande,seda,24,16,46560
Infiniti,FX35,2009,gasolina premium (obrigatoria),303.0,6.0,automatico,tracao traseira,4.0,medio,SUV 4 portas,23,16,42150
Kia,Soul,2016,gasolina comum,130.0,4.0,manual,tracao dianteira,4.0,compacto,perua,30,24,15900
Oldsmobile,Cutlass,1997,gasolina comum,155.0,6.0,automatico,tracao dianteira,4.0,medio,seda,26,18,2000
Toyota,Tundra,2017,gasolina comum,381.0,8.0,automatico,tracao nas quatro rodas,4.0,grande,picape cabine estendida,17,13,43395
Ford,Expedition,2017,gasolina comum,365.0,6.0,automatico,tracao nas quatro rodas,4.0,grande,SUV 4 portas,20,15,62860
Scion,tC,2014,gasolina comum,179.0,4.0,manual,tracao dianteira,2.0,compacto,hatchback 2 portas,31,23,21400
Honda,CR-V,2015,gasolina comum,185.0,4.0,automatico,tracao integral,4.0,compacto,SUV 4 portas,33,26,26795
Infiniti,I30,1999,gasolina comum,190.0,6.0,automatico,tracao dianteira,4.0,medio,seda,25,18,2288
Ford,F-250,1999,gasolina comum,220.0,8.0,automatico,tracao nas quatro rodas,2.0,grande,picape cabine simples,15,12,3878
Volvo,XC70,2016,gasolina comum,240.0,4.0,automatico,tracao dianteira,4.0,medio,perua,31,23,46675
GMC,Canyon,2012,gasolina comum,185.0,4.0,manual,tracao traseira,2.0,compacto,picape cabine simples,25,18,17490
GMC,Savana Cargo,2015,flex (gasolina/E85),285.0,8.0,automatico,tracao traseira,3.0,grande,van de carga,17,11,31415
GMC,S-15,1990,gasolina comum,105.0,4.0,manual,tracao traseira,2.0,compacto,picape cabine estendida,25,21,2000
Ford,Fusion Hybrid,2016,gasolina comum,188.0,4.0,automatico,tracao dianteira,4.0,medio,seda,41,44,25675
Nissan,Versa,2015,gasolina comum,109.0,4.0,automatico,tracao dianteira,4.0,compacto,seda,40,31,17590
Hyundai,Sonata,2016,gasolina comum,185.0,4.0,automatico,tracao dianteira,4.0,medio,seda,36,25,27350
Toyota,RAV4,2016,gasolina comum,176.0,4.0,automatico,tracao dianteira,4.0,medio,SUV 4 portas,31,24,29265
GMC,Envoy XL,2006,gasolina comum,300.0,8.0,automatico,tracao nas quatro rodas,4.0,grande,SUV 4 portas,18,13,37600
Volvo,XC60,2015,gasolina comum,302.0,4.0,automatico,tracao dianteira,4.0,medio,SUV 4 portas,30,22,45550
Suzuki,SX4,2012,gasolina comum,150.0,4.0,manual,tracao dianteira,4.0,compacto,seda,33,23,13699
Ford,Fusion,2017,gasolina comum,231.0,4.0,automatico,tracao dianteira,4.0,medio,seda,31,21,36620
Volvo,C70,2012,gasolina premium (recomendada),227.0,5.0,automatico,tracao dianteira,2.0,compacto,conversivel,28,18,40450
Ford,F-250,1998,gasolina comum,220.0,8.0,manual,tracao nas quatro rodas,3.0,grande,picape cabine estendida,16,13,3471
Chevrolet,Sonic,2016,gasolina comum,138.0,4.0,automatico,tracao dianteira,4.0,compacto,hatchback 4 portas,35,24,16195
Subaru,Impreza,2015,gasolina comum,148.0,4.0,automatico,tracao integral,4.0,compacto,hatchback 4 portas,36,27,23295
Dodge,RAM 150,1992,gasolina comum,180.0,6.0,manual,tracao traseira,2.0,grande,picape cabine simples,17,14,2000
Chevrolet,Cruze,2017,gasolina comum,153.0,4.0,automatico,tracao dianteira,4.0,medio,seda,40,30,21450
Honda,Civic,2017,gasolina comum,174.0,4.0,automatico,tracao dianteira,4.0,medio,seda,42,32,23300
Dodge,Magnum,2007,gasolina comum,340.0,8.0,automatico,tracao traseira,4.0,grande,perua,23,15,31515
BMW,5 Series Gran Turismo,2016,gasolina premium (obrigatoria),300.0,6.0,automatico,tracao traseira,4.0,grande,hatchback 4 portas,28,19,60900
Ford,Ranger,2009,gasolina comum,143.0,4.0,manual,tracao traseira,2.0,compacto,picape cabine simples,26,21,17680
Dodge,Journey,2017,gasolina comum,173.0,4.0,automatico,tracao dianteira,4.0,medio,SUV 4 portas,25,19,26295
Chevrolet,Corvette,2017,gasolina premium (recomendada),460.0,8.0,manual,tracao traseira,2.0,compacto,cupe,25,16,69905
Chevrolet,Tracker,2004,gasolina comum,165.0,6.0,automatico,tracao nas quatro rodas,4.0,compacto,SUV 4 portas,20,17,20965
Toyota,RAV4,2017,gasolina comum,176.0,4.0,automatico,tracao integral,4.0,medio,SUV 4 portas,28,22,26310
Volvo,S60,2015,gasolina comum,302.0,4.0,automatico,tracao dianteira,4.0,medio,seda,35,24,39250
Honda,Pilot,2017,gasolina comum,280.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,26,18,39855
BMW,5 Series,2015,gasolina premium (obrigatoria),443.0,8.0,automatico,tracao traseira,4.0,grande,seda,25,17,64900
Volkswagen,Touareg,2016,gasolina premium (recomendada),280.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,23,17,42705
Land Rover,Range Rover Evoque,2015,gasolina premium (recomendada),240.0,4.0,automatico,tracao integral,4.0,compacto,SUV 4 portas,30,21,55700
Lincoln,MKC,2015,gasolina comum,240.0,4.0,automatico,tracao integral,4.0,compacto,SUV 4 portas,26,19,48525
Volkswagen,Jetta SportWagen,2013,diesel,140.0,4.0,manual automatizado,tracao dianteira,4.0,compacto,perua,39,29,26895
Lexus,LS 460,2016,gasolina premium (obrigatoria),386.0,8.0,automatico,tracao traseira,4.0,grande,seda,24,16,72520
Mitsubishi,Outlander,2016,gasolina comum,166.0,4.0,automatico,tracao dianteira,4.0,medio,SUV 4 portas,31,25,22995
Chevrolet,S-10,2002,gasolina comum,190.0,6.0,automatico,tracao traseira,2.0,compacto,picape cabine simples,20,15,21499
Ford,Ranger,2009,gasolina comum,143.0,4.0,manual,tracao traseira,2.0,compacto,picape cabine simples,26,21,18805
Subaru,XV Crosstrek,2015,gasolina comum,160.0,4.0,automatico,tracao integral,4.0,compacto,SUV 4 portas,34,30,29295
Suzuki,Grand Vitara,2012,gasolina comum,166.0,4.0,automatico,tracao nas quatro rodas,4.0,compacto,SUV 4 portas,23,19,22849
Hyundai,Entourage,2007,gasolina comum,242.0,6.0,automatico,tracao dianteira,4.0,medio,minivan de passageiros,23,16,26395
Audi,A6,2016,diesel,240.0,6.0,automatico,tracao integral,4.0,medio,seda,38,25,59500
Dodge,Ram Pickup 1500,2009,flex (gasolina/E85),310.0,8.0,automatico,tracao nas quatro rodas,4.0,grande,picape cabine dupla,18,13,32750
Volkswagen,New Beetle,2010,gasolina comum,150.0,5.0,automatico,tracao dianteira,2.0,compacto,conversivel,28,20,26390
Audi,A3,2016,gasolina premium (recomendada),220.0,4.0,manual automatizado,tracao integral,2.0,compacto,conversivel,32,23,48450
Subaru,Impreza,2017,gasolina comum,152.0,4.0,automatico,tracao integral,4.0,medio,seda,36,27,22795
Audi,100,1992,gasolina comum,172.0,6.0,manual,tracao dianteira,4.0,medio,seda,24,17,2000
GMC,Sierra 1500 Classic,2007,gasolina comum,295.0,8.0,automatico,tracao nas quatro rodas,4.0,grande,picape cabine estendida,17,13,31735
Buick,Roadmaster,1994,gasolina comum,260.0,8.0,automatico,tracao traseira,4.0,grande,seda,23,15,2000
Lexus,IS 250,2013,gasolina premium (obrigatoria),204.0,6.0,automatico,tracao integral,4.0,medio,seda,27,21,37525
Honda,Insight,2012,gasolina comum,98.0,4.0,automatico,tracao dianteira,4.0,compacto,hatchback 4 portas,44,41,20275
Chevrolet,Malibu,2017,gasolina premium (recomendada),250.0,4.0,automatico,tracao dianteira,4.0,medio,seda,33,22,30975
Toyota,Venza,2015,gasolina comum,181.0,4.0,automatico,tracao dianteira,4.0,medio,perua,26,20,32110
Volvo,XC60,2015,gasolina comum,300.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,24,17,48250
Mitsubishi,Outlander,2017,gasolina comum,166.0,4.0,automatico,tracao integral,4.0,medio,SUV 4 portas,29,24,24995
Mercedes-Benz,E-Class,2016,gasolina premium (obrigatoria),402.0,8.0,automatico,tracao traseira,2.0,medio,cupe,26,18,60300
Mazda,3,2016,gasolina comum,184.0,4.0,automatico,tracao dianteira,4.0,compacto,seda,39,28,25795
Suzuki,XL7,2007,gasolina comum,252.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,21,16,25949
Kia,Soul,2015,gasolina comum,130.0,4.0,manual,tracao dianteira,4.0,compacto,perua,30,24,15190
Mazda,B-Series,2001,gasolina comum,150.0,6.0,manual,tracao traseira,4.0,compacto,picape cabine estendida,21,15,18485
Dodge,Caliber,2012,gasolina comum,158.0,4.0,automatico,tracao dianteira,4.0,compacto,perua,27,23,18765
FIAT,500,2016,gasolina premium (recomendada),135.0,4.0,manual,tracao dianteira,2.0,compacto,hatchback 2 portas,34,28,19700
Honda,CR-Z,2014,gasolina comum,130.0,4.0,automatico,tracao dianteira,2.0,compacto,hatchback 2 portas,39,36,20645
Chevrolet,Tahoe,2017,flex (gasolina/E85),355.0,8.0,automatico,tracao traseira,4.0,grande,SUV 4 portas,23,16,52345
Toyota,Tundra,2016,gasolina comum,381.0,8.0,automatico,tracao nas quatro rodas,4.0,grande,picape cabine estendida,17,13,42945
Chevrolet,Silverado 1500 Classic,2007,flex (gasolina/E85),295.0,8.0,automatico,tracao nas quatro rodas,4.0,grande,picape cabine estendida,17,13,27060
GMC,Acadia,2017,gasolina comum,194.0,4.0,automatico,tracao dianteira,4.0,medio,SUV 4 portas,26,21,35070
Dodge,Ram Van,1998,gasolina comum,230.0,8.0,automatico,tracao traseira,3.0,grande,van de carga,17,12,2245
GMC,Vandura,1994,gasolina comum,165.0,6.0,automatico,tracao traseira,3.0,medio,van de carga,20,15,2000
Mazda,B-Series Truck,2008,gasolina comum,207.0,6.0,automatico,tracao nas quatro rodas,4.0,compacto,picape cabine estendida,17,14,26590
Cadillac,ATS,2015,gasolina premium (recomendada),272.0,4.0,automatico,tracao integral,4.0,compacto,seda,28,20,41340
Dodge,Ram Pickup 1500,2009,flex (gasolina/E85),310.0,8.0,automatico,tracao traseira,4.0,grande,picape cabine dupla,19,14,29530
Saab,9-3,2010,gasolina premium (recomendada),207.0,4.0,automatico,tracao dianteira,4.0,medio,seda,28,19,35340
Toyota,Corolla,2015,gasolina comum,132.0,4.0,manual,tracao dianteira,4.0,compacto,seda,37,28,21495
GMC,Sierra 1500,2017,gasolina comum,355.0,8.0,automatico,tracao nas quatro rodas,4.0,grande,picape cabine dupla,20,15,55305
Audi,200,1990,gasolina comum,162.0,5.0,automatico,tracao dianteira,4.0,medio,seda,20,16,2000
Lincoln,Town Car,2010,flex (gasolina/E85),239.0,8.0,automatico,tracao traseira,4.0,grande,seda,24,16,46925
Toyota,Yaris,2016,gasolina comum,106.0,4.0,automatico,tracao dianteira,4.0,compacto,hatchback 4 portas,36,30,15995
Land Rover,LR4,2014,gasolina premium (obrigatoria),340.0,6.0,automatico,tracao nas quatro rodas,4.0,medio,SUV 4 portas,19,14,59900
GMC,Canyon,2015,gasolina comum,200.0,4.0,automatico,tracao nas quatro rodas,4.0,compacto,picape cabine estendida,25,19,31145
BMW,X3,2015,gasolina premium (obrigatoria),240.0,4.0,automatico,tracao traseira,4.0,medio,SUV 4 portas,28,21,38500
Chrysler,200,2017,flex (gasolina/E85),295.0,6.0,automatico,tracao integral,4.0,medio,seda,28,18,30900
Subaru,WRX,2016,gasolina premium (obrigatoria),305.0,4.0,manual,tracao integral,4.0,compacto,seda,23,17,39995
Volkswagen,Beetle,2016,gasolina comum,170.0,4.0,manual,tracao dianteira,2.0,compacto,hatchback 2 portas,34,24,21350
Chevrolet,Aveo,2011,gasolina comum,108.0,4.0,manual,tracao dianteira,4.0,compacto,seda,35,27,14100
Suzuki,Esteem,2001,gasolina comum,122.0,4.0,manual,tracao dianteira,4.0,compacto,perua,31,24,14699
Mazda,Truck,2003,gasolina comum,147.0,6.0,manual,tracao traseira,2.0,compacto,picape cabine simples,21,17,16975
Mercedes-Benz,CLS-Class,2015,gasolina premium (obrigatoria),329.0,6.0,automatico,tracao traseira,4.0,medio,seda,30,20,65990
Kia,Sedona,2015,gasolina comum,276.0,6.0,automatico,tracao dianteira,4.0,medio,minivan de passageiros,22,17,39700
Volkswagen,Golf,2016,gasolina comum,170.0,4.0,automatico,tracao dianteira,4.0,compacto,hatchback 4 portas,36,25,21275
BMW,4 Series Gran Coupe,2015,gasolina premium (obrigatoria),240.0,4.0,automatico,tracao integral,4.0,medio,seda,33,22,42300
Oldsmobile,Silhouette,2002,gasolina comum,185.0,6.0,automatico,tracao integral,4.0,medio,minivan de passageiros,22,16,35970
Buick,Verano,2016,gasolina comum,180.0,4.0,automatico,tracao dianteira,4.0,medio,seda,32,21,24475
Dodge,Challenger,2015,gasolina comum,305.0,6.0,automatico,tracao traseira,2.0,grande,cupe,30,19,29995
Nissan,Pathfinder,2017,gasolina comum,284.0,6.0,automatico,tracao nas quatro rodas,4.0,grande,SUV 4 portas,26,19,31980
Scion,FR-S,2014,gasolina premium (obrigatoria),200.0,4.0,automatico,tracao traseira,2.0,compacto,cupe,34,25,25800
Chevrolet,Impala,2017,flex (gasolina/E85),305.0,6.0,automatico,tracao dianteira,4.0,grande,seda,28,19,35645
Acura,Integra,1999,gasolina comum,140.0,4.0,manual,tracao dianteira,2.0,compacto,hatchback 2 portas,29,22,2912
Audi,Q3,2016,gasolina premium (recomendada),200.0,4.0,automatico,tracao dianteira,4.0,compacto,SUV 4 portas,29,20,38600
Pontiac,Firebird,2000,gasolina comum,305.0,8.0,desconhecido,tracao traseira,2.0,medio,hatchback 2 portas,23,15,6175
Chevrolet,Silverado 1500,2015,flex (gasolina/E85),285.0,6.0,automatico,tracao nas quatro rodas,4.0,grande,picape cabine estendida,22,17,39420
Suzuki,Verona,2004,gasolina comum,155.0,6.0,automatico,tracao dianteira,4.0,medio,seda,25,17,20199
Lincoln,Continental,2017,gasolina premium (recomendada),,6.0,automatico,tracao dianteira,4.0,grande,seda,27,18,53915
Nissan,Rogue,2015,gasolina comum,170.0,4.0,automatico,tracao integral,4.0,medio,SUV 4 portas,32,25,25840
Ford,LTD Crown Victoria,1990,gasolina comum,150.0,8.0,automatico,tracao traseira,4.0,grande,perua,22,15,2000
Volkswagen,Cabrio,2001,gasolina comum,115.0,4.0,automatico,tracao dianteira,2.0,compacto,conversivel,26,20,20475
Volkswagen,Beetle,2015,gasolina premium (recomendada),210.0,4.0,manual,tracao dianteira,2.0,compacto,hatchback 2 portas,31,23,25450
Toyota,Prius,2016,gasolina comum,121.0,4.0,automatico,tracao dianteira,4.0,compacto,hatchback 4 portas,50,54,28650
Chevrolet,S-10,2003,flex (gasolina/E85),120.0,4.0,manual,tracao traseira,3.0,compacto,picape cabine estendida,25,19,16570
Chevrolet,Silverado 1500,2016,flex (gasolina/E85),285.0,6.0,automatico,tracao nas quatro rodas,2.0,grande,picape cabine simples,22,17,38590
Mitsubishi,Sigma,1990,gasolina comum,142.0,6.0,automatico,tracao dianteira,4.0,medio,seda,20,16,2000
Dodge,Ram Pickup 1500,2009,flex (gasolina/E85),310.0,8.0,automatico,tracao traseira,2.0,grande,picape cabine simples,19,14,25715
Infiniti,Q70,2014,gasolina premium (obrigatoria),420.0,8.0,automatico,tracao integral,4.0,grande,seda,23,16,64600
Volkswagen,Beetle Convertible,2014,gasolina comum,170.0,5.0,automatico,tracao dianteira,2.0,compacto,conversivel,27,21,25170
Volvo,XC90,2016,gasolina premium (recomendada),316.0,4.0,automatico,tracao integral,4.0,grande,SUV 4 portas,25,20,55400
Volkswagen,Beetle,2016,gasolina comum,170.0,4.0,automatico,tracao dianteira,2.0,compacto,hatchback 2 portas,34,25,19595
Nissan,370Z,2016,gasolina premium (obrigatoria),332.0,6.0,manual,tracao traseira,2.0,compacto,cupe,26,18,37070
Dodge,Caravan,2006,gasolina comum,180.0,6.0,automatico,tracao dianteira,4.0,grande,minivan de passageiros,24,17,22520
Acura,TLX,2015,gasolina premium (recomendada),206.0,4.0,manual automatizado,tracao dianteira,4.0,medio,seda,35,24,31445
Mercedes-Benz,C-Class,2016,gasolina premium (obrigatoria),362.0,6.0,automatico,tracao integral,4.0,medio,seda,29,21,50800
Pontiac,Grand Am,2005,gasolina comum,175.0,6.0,automatico,tracao dianteira,2.0,medio,cupe,27,18,23750
Mazda,B-Series Truck,2007,gasolina comum,148.0,6.0,manual,tracao traseira,4.0,compacto,picape cabine estendida,21,16,19040
Buick,Riviera,1997,gasolina comum,205.0,6.0,automatico,tracao dianteira,2.0,grande,cupe,26,17,2000
Audi,A3,2016,gasolina premium (recomendada),220.0,4.0,manual automatizado,tracao integral,2.0,compacto,conversivel,32,23,42300
Pontiac,G6,2009,gasolina comum,221.0,6.0,automatico,tracao dianteira,2.0,medio,conversivel,26,17,31870
Mazda,Tribute,2009,gasolina comum,171.0,4.0,automatico,tracao dianteira,4.0,compacto,SUV 4 portas,28,20,21790
Dodge,Colt,1993,gasolina comum,92.0,4.0,manual,tracao dianteira,2.0,compacto,cupe,36,28,2000
Chevrolet,Silverado 1500,2016,flex (gasolina/E85),285.0,6.0,automatico,tracao nas quatro rodas,4.0,grande,picape cabine dupla,22,17,41865
Chevrolet,Silverado 1500,2016,gasolina comum,355.0,8.0,automatico,tracao nas quatro rodas,4.0,grande,picape cabine estendida,22,16,44475
Chevrolet,Captiva Sport,2013,flex (gasolina/E85),180.0,4.0,automatico,tracao dianteira,4.0,medio,SUV 4 portas,28,20,25770
Chevrolet,Impala,2017,flex (gasolina/gas natural),,6.0,automatico,tracao dianteira,4.0,grande,seda,25,17,40915
GMC,Jimmy,2001,gasolina comum,190.0,6.0,automatico,tracao nas quatro rodas,4.0,medio,SUV 4 portas,18,14,30225
Suzuki,Forenza,2006,gasolina comum,126.0,4.0,manual,tracao dianteira,4.0,compacto,perua,27,19,15799
Mazda,CX-7,2011,gasolina premium (recomendada),244.0,4.0,automatico,tracao integral,4.0,medio,SUV 4 portas,21,17,33340
Ford,Fiesta,2016,gasolina comum,120.0,4.0,manual,tracao dianteira,4.0,compacto,seda,35,27,15810
Volkswagen,Golf,2017,gasolina comum,170.0,4.0,automatico,tracao dianteira,4.0,compacto,hatchback 4 portas,35,25,22695
Audi,80,1990,gasolina comum,108.0,4.0,manual,tracao dianteira,4.0,compacto,seda,28,19,2000
Mercedes-Benz,Metris,2016,gasolina premium (recomendada),208.0,4.0,automatico,tracao traseira,4.0,compacto,minivan de passageiros,23,20,32500
Buick,Encore,2017,gasolina comum,138.0,4.0,automatico,tracao integral,4.0,compacto,SUV 4 portas,30,24,30565
GMC,Acadia,2015,gasolina comum,281.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,23,16,38555
Kia,Sorento,2016,gasolina comum,290.0,6.0,automatico,tracao dianteira,4.0,medio,SUV 4 portas,26,18,28700
Hyundai,Sonata,2016,gasolina comum,185.0,4.0,automatico,tracao dianteira,4.0,medio,seda,36,25,23400
Chevrolet,Chevy Van,1997,gasolina comum,200.0,6.0,automatico,tracao traseira,3.0,grande,van de carga,17,14,2000
Land Rover,Range Rover Evoque,2015,gasolina premium (recomendada),240.0,4.0,automatico,tracao integral,4.0,compacto,SUV 4 portas,30,21,48300
GMC,Canyon,2012,gasolina comum,185.0,4.0,automatico,tracao nas quatro rodas,4.0,compacto,picape cabine estendida,23,17,24435
GMC,Sierra 1500,2017,gasolina comum,355.0,8.0,automatico,tracao traseira,4.0,grande,picape cabine dupla,23,16,38115
Chevrolet,Tracker,2002,gasolina comum,127.0,4.0,manual,tracao nas quatro rodas,2.0,compacto,SUV Conversível,23,20,19060
Volkswagen,Jetta GLI,2013,gasolina premium (recomendada),210.0,4.0,manual automatizado,tracao dianteira,4.0,medio,seda,32,24,29525
Toyota,Pickup,1995,gasolina comum,150.0,6.0,manual,tracao nas quatro rodas,2.0,compacto,picape cabine estendida,17,14,2691
GMC,Terrain,2015,gasolina comum,182.0,4.0,automatico,tracao dianteira,4.0,compacto,SUV 4 portas,32,22,29820
Nissan,240SX,1998,gasolina comum,155.0,4.0,manual,tracao traseira,2.0,compacto,cupe,25,20,4693
Pontiac,Bonneville,2004,gasolina premium (obrigatoria),275.0,8.0,automatico,tracao dianteira,4.0,grande,seda,22,15,35270
Lincoln,MKZ,2017,gasolina premium (recomendada),245.0,4.0,automatico,tracao dianteira,4.0,medio,seda,31,21,35010
